perturbation,source,target,filepath,T4a_corr,T4b_corr,T4c_corr,T4d_corr,T5a_corr,T5b_corr,T5c_corr,T5d_corr,T4_mean_corr,T5_mean_corr,T4_min_corr,T5_min_corr,T4_delta,T5_delta,T4_sensitivity,T5_sensitivity,combined_sensitivity,T4a_delta,T4a_sensitivity,T4b_delta,T4b_sensitivity,T4c_delta,T4c_sensitivity,T4d_delta,T4d_sensitivity,T5a_delta,T5a_sensitivity,T5b_delta,T5b_sensitivity,T5c_delta,T5c_sensitivity,T5d_delta,T5d_sensitivity,T4_baseline,T5_baseline
Tm2_Tm1,Tm2,Tm1,C:\Users\madis\Documents\Perturbations\fly_wire_perturbations\data\flyvis_data\moving_edge\pair-wise-pert-moving-edge-results\Tm2_Tm1.csv,0.9369997923593952,0.7194494020568061,0.537217881416194,0.856610688346651,0.8410610218300177,0.9031556185071248,0.9494587921465866,0.9005229989342195,0.7625694410447615,0.8985496078544871,0.537217881416194,0.8410610218300177,-1.6996014928771785e-08,-0.00020873296709045253,1.6996014928771785e-08,0.00020873296709045253,0.00010437498155269065,-6.510170091900136e-08,6.510170091900136e-08,7.655362599390259e-08,7.655362599390259e-08,-8.887195857010255e-08,8.887195857010255e-08,9.435974224203392e-09,9.435974224203392e-09,-0.00019326619527182398,0.00019326619527182398,-5.377485553581529e-05,5.377485553581529e-05,-0.00010585460551781889,0.00010585460551781889,-0.0004820362120361299,0.0004820362120361299,0.7625694580407765,0.8987583408215776
Tm2_Tm28(1),Tm2,Tm28(1),C:\Users\madis\Documents\Perturbations\fly_wire_perturbations\data\flyvis_data\moving_edge\pair-wise-pert-moving-edge-results\Tm2_Tm28(1).csv,0.9369998517770254,0.7194493472609873,0.5372179253979331,0.8566105664136073,0.8412543229462044,0.903209320147522,0.9495645642858662,0.9010055442277832,0.7625694227123883,0.898758437901844,0.5372179253979331,0.8412543229462044,-3.532838821485029e-08,9.708026638133305e-08,3.532838821485029e-08,9.708026638133305e-08,6.620432729809167e-08,-5.684070769618188e-09,5.684070769618188e-09,2.1757807222577696e-08,2.1757807222577696e-08,-4.489021943054894e-08,4.489021943054894e-08,-1.1249706943772253e-07,1.1249706943772253e-07,3.492091482648618e-08,3.492091482648618e-08,-7.32151386184654e-08,7.32151386184654e-08,-8.24662381715413e-08,8.24662381715413e-08,5.09081527599875e-07,5.09081527599875e-07,0.7625694580407765,0.8987583408215776
Tm2_Tm28,Tm2,Tm28,C:\Users\madis\Documents\Perturbations\fly_wire_perturbations\data\flyvis_data\moving_edge\pair-wise-pert-moving-edge-results\Tm2_Tm28.csv,0.9369998517770254,0.7194493472609873,0.5372179253979331,0.8566105664136073,0.8412543229462044,0.903209320147522,0.9495645642858662,0.9010055442277832,0.7625694227123883,0.898758437901844,0.5372179253979331,0.8412543229462044,-3.532838821485029e-08,9.708026638133305e-08,3.532838821485029e-08,9.708026638133305e-08,6.620432729809167e-08,-5.684070769618188e-09,5.684070769618188e-09,2.1757807222577696e-08,2.1757807222577696e-08,-4.489021943054894e-08,4.489021943054894e-08,-1.1249706943772253e-07,1.1249706943772253e-07,3.492091482648618e-08,3.492091482648618e-08,-7.32151386184654e-08,7.32151386184654e-08,-8.24662381715413e-08,8.24662381715413e-08,5.09081527599875e-07,5.09081527599875e-07,0.7625694580407765,0.8987583408215776
Tm2_Tm4(1),Tm2,Tm4(1),C:\Users\madis\Documents\Perturbations\fly_wire_perturbations\data\flyvis_data\moving_edge\pair-wise-pert-moving-edge-results\Tm2_Tm4(1).csv,0.9369997981099616,0.7194494393268499,0.5372177695878402,0.856610629386973,0.8409131527654513,0.9032394241620352,0.9488678148179248,0.8997821392161321,0.7625694091029062,0.8982006327403858,0.5372177695878402,0.8409131527654513,-4.893787031168273e-08,-0.0005577080811918211,4.893787031168273e-08,0.0005577080811918211,0.0002788785095310664,-5.9351134562568575e-08,5.9351134562568575e-08,1.1382366982282122e-07,1.1382366982282122e-07,-2.0070031236940622e-07,2.0070031236940622e-07,-4.952370380451043e-08,4.952370380451043e-08,-0.00034113525983825443,0.00034113525983825443,3.0030799374580752e-05,3.0030799374580752e-05,-0.0006968319341795759,0.0006968319341795759,-0.0012228959301234799,0.0012228959301234799,0.7625694580407765,0.8987583408215776
Tm2_Tm4,Tm2,Tm4,C:\Users\madis\Documents\Perturbations\fly_wire_perturbations\data\flyvis_data\moving_edge\pair-wise-pert-moving-edge-results\Tm2_Tm4.csv,0.9369997981099616,0.7194494393268499,0.5372177695878402,0.856610629386973,0.8409131527654513,0.9032394241620352,0.9488678148179248,0.8997821392161321,0.7625694091029062,0.8982006327403858,0.5372177695878402,0.8409131527654513,-4.893787031168273e-08,-0.0005577080811918211,4.893787031168273e-08,0.0005577080811918211,0.0002788785095310664,-5.9351134562568575e-08,5.9351134562568575e-08,1.1382366982282122e-07,1.1382366982282122e-07,-2.0070031236940622e-07,2.0070031236940622e-07,-4.952370380451043e-08,4.952370380451043e-08,-0.00034113525983825443,0.00034113525983825443,3.0030799374580752e-05,3.0030799374580752e-05,-0.0006968319341795759,0.0006968319341795759,-0.0012228959301234799,0.0012228959301234799,0.7625694580407765,0.8987583408215776
Tm2_Tm9(1),Tm2,Tm9(1),C:\Users\madis\Documents\Perturbations\fly_wire_perturbations\data\flyvis_data\moving_edge\pair-wise-pert-moving-edge-results\Tm2_Tm9(1).csv,0.936999705147348,0.7194494364609433,0.5372183007100085,0.8566103500210633,0.8361454354423541,0.8990338053382381,0.949711234019278,0.8953407746748597,0.7625694480848408,0.8950578123686825,0.5372183007100085,0.8361454354423541,-9.955935631467128e-09,-0.0037005284528950355,9.955935631467128e-09,0.0037005284528950355,0.0018502692044153335,-1.5231374816959686e-07,1.5231374816959686e-07,1.1095776319969275e-07,1.1095776319969275e-07,3.3042185598741725e-07,3.3042185598741725e-07,-3.2888961343235934e-07,3.2888961343235934e-07,-0.005108852582935475,0.005108852582935475,-0.004175588024422527,0.004175588024422527,0.0001465872671736479,0.0001465872671736479,-0.005664260471395899,0.005664260471395899,0.7625694580407765,0.8987583408215776
Tm2_Tm9,Tm2,Tm9,C:\Users\madis\Documents\Perturbations\fly_wire_perturbations\data\flyvis_data\moving_edge\pair-wise-pert-moving-edge-results\Tm2_Tm9.csv,0.936999705147348,0.7194494364609433,0.5372183007100085,0.8566103500210633,0.8361454354423541,0.8990338053382381,0.949711234019278,0.8953407746748597,0.7625694480848408,0.8950578123686825,0.5372183007100085,0.8361454354423541,-9.955935631467128e-09,-0.0037005284528950355,9.955935631467128e-09,0.0037005284528950355,0.0018502692044153335,-1.5231374816959686e-07,1.5231374816959686e-07,1.1095776319969275e-07,1.1095776319969275e-07,3.3042185598741725e-07,3.3042185598741725e-07,-3.2888961343235934e-07,3.2888961343235934e-07,-0.005108852582935475,0.005108852582935475,-0.004175588024422527,0.004175588024422527,0.0001465872671736479,0.0001465872671736479,-0.005664260471395899,0.005664260471395899,0.7625694580407765,0.8987583408215776
Tm2_TmY13(1),Tm2,TmY13(1),C:\Users\madis\Documents\Perturbations\fly_wire_perturbations\data\flyvis_data\moving_edge\pair-wise-pert-moving-edge-results\Tm2_TmY13(1).csv,0.936999802496671,0.7194494888946406,0.5372178124638245,0.8566105499577755,0.8411301132931304,0.9032962833092868,0.949471169024804,0.9006906809526352,0.7625694134532279,0.8986470616449641,0.5372178124638245,0.8411301132931304,-4.458754854219649e-08,-0.00011127917661346576,4.458754854219649e-08,0.00011127917661346576,5.566188208100398e-05,-5.496442512242794e-08,5.496442512242794e-08,1.633914604726172e-07,1.633914604726172e-07,-1.5782432805089286e-07,1.5782432805089286e-07,-1.2895290124603775e-07,1.2895290124603775e-07,-0.00012417473215919905,0.00012417473215919905,8.688994662620075e-05,8.688994662620075e-05,-9.347772730039505e-05,9.347772730039505e-05,-0.0003143541936204697,0.0003143541936204697,0.7625694580407765,0.8987583408215776
Tm2_TmY13,Tm2,TmY13,C:\Users\madis\Documents\Perturbations\fly_wire_perturbations\data\flyvis_data\moving_edge\pair-wise-pert-moving-edge-results\Tm2_TmY13.csv,0.936999802496671,0.7194494888946406,0.5372178124638245,0.8566105499577755,0.8411301132931304,0.9032962833092868,0.949471169024804,0.9006906809526352,0.7625694134532279,0.8986470616449641,0.5372178124638245,0.8411301132931304,-4.458754854219649e-08,-0.00011127917661346576,4.458754854219649e-08,0.00011127917661346576,5.566188208100398e-05,-5.496442512242794e-08,5.496442512242794e-08,1.633914604726172e-07,1.633914604726172e-07,-1.5782432805089286e-07,1.5782432805089286e-07,-1.2895290124603775e-07,1.2895290124603775e-07,-0.00012417473215919905,0.00012417473215919905,8.688994662620075e-05,8.688994662620075e-05,-9.347772730039505e-05,9.347772730039505e-05,-0.0003143541936204697,0.0003143541936204697,0.7625694580407765,0.8987583408215776
Tm2_TmY15(1),Tm2,TmY15(1),C:\Users\madis\Documents\Perturbations\fly_wire_perturbations\data\flyvis_data\moving_edge\pair-wise-pert-moving-edge-results\Tm2_TmY15(1).csv,0.9369998543506703,0.7194493460409233,0.537217931558956,0.8566105592898098,0.8412460944974525,0.9032120195007288,0.9495648979668856,0.900988417449226,0.7625694228100899,0.8987528573535732,0.537217931558956,0.8412460944974525,-3.5230686590281834e-08,-5.483468004330305e-06,3.5230686590281834e-08,5.483468004330305e-06,2.7593493454602935e-06,-3.1104258058078926e-09,3.1104258058078926e-09,2.0537743172788225e-08,2.0537743172788225e-08,-3.8729196516484876e-08,3.8729196516484876e-08,-1.196208669895782e-07,1.196208669895782e-07,-8.193527837097037e-06,8.193527837097037e-06,2.626138068229089e-06,2.626138068229089e-06,2.512147811994936e-07,2.512147811994936e-07,-1.6617697029652767e-05,1.6617697029652767e-05,0.7625694580407765,0.8987583408215776
Tm2_TmY15,Tm2,TmY15,C:\Users\madis\Documents\Perturbations\fly_wire_perturbations\data\flyvis_data\moving_edge\pair-wise-pert-moving-edge-results\Tm2_TmY15.csv,0.9369998543506703,0.7194493460409233,0.537217931558956,0.8566105592898098,0.8412460944974525,0.9032120195007288,0.9495648979668856,0.900988417449226,0.7625694228100899,0.8987528573535732,0.537217931558956,0.8412460944974525,-3.5230686590281834e-08,-5.483468004330305e-06,3.5230686590281834e-08,5.483468004330305e-06,2.7593493454602935e-06,-3.1104258058078926e-09,3.1104258058078926e-09,2.0537743172788225e-08,2.0537743172788225e-08,-3.8729196516484876e-08,3.8729196516484876e-08,-1.196208669895782e-07,1.196208669895782e-07,-8.193527837097037e-06,8.193527837097037e-06,2.626138068229089e-06,2.626138068229089e-06,2.512147811994936e-07,2.512147811994936e-07,-1.6617697029652767e-05,1.6617697029652767e-05,0.7625694580407765,0.8987583408215776
Tm2_TmY18(1),Tm2,TmY18(1),C:\Users\madis\Documents\Perturbations\fly_wire_perturbations\data\flyvis_data\moving_edge\pair-wise-pert-moving-edge-results\Tm2_TmY18(1).csv,0.936999772165928,0.7194492697976657,0.5372179704417278,0.8566107900691912,0.842301383883924,0.903363439950292,0.95012387211702,0.903829969633231,0.7625694506186282,0.8999046663961168,0.5372179704417278,0.842301383883924,-7.422148229352388e-09,0.0011463255745391976,7.422148229352388e-09,0.0011463255745391976,0.0005731664983437135,-8.529516815070082e-08,8.529516815070082e-08,-5.5705514423465274e-08,5.5705514423465274e-08,1.5357526361725604e-10,1.5357526361725604e-10,1.1115851439313928e-07,1.1115851439313928e-07,0.0010470958586343837,0.0010470958586343837,0.00015404658763140677,0.00015404658763140677,0.0005592253649155943,0.0005592253649155943,0.0028249344869754056,0.0028249344869754056,0.7625694580407765,0.8987583408215776
Tm2_TmY18,Tm2,TmY18,C:\Users\madis\Documents\Perturbations\fly_wire_perturbations\data\flyvis_data\moving_edge\pair-wise-pert-moving-edge-results\Tm2_TmY18.csv,0.936999772165928,0.7194492697976657,0.5372179704417278,0.8566107900691912,0.842301383883924,0.903363439950292,0.95012387211702,0.903829969633231,0.7625694506186282,0.8999046663961168,0.5372179704417278,0.842301383883924,-7.422148229352388e-09,0.0011463255745391976,7.422148229352388e-09,0.0011463255745391976,0.0005731664983437135,-8.529516815070082e-08,8.529516815070082e-08,-5.5705514423465274e-08,5.5705514423465274e-08,1.5357526361725604e-10,1.5357526361725604e-10,1.1115851439313928e-07,1.1115851439313928e-07,0.0010470958586343837,0.0010470958586343837,0.00015404658763140677,0.00015404658763140677,0.0005592253649155943,0.0005592253649155943,0.0028249344869754056,0.0028249344869754056,0.7625694580407765,0.8987583408215776
Tm2_TmY3(1),Tm2,TmY3(1),C:\Users\madis\Documents\Perturbations\fly_wire_perturbations\data\flyvis_data\moving_edge\pair-wise-pert-moving-edge-results\Tm2_TmY3(1).csv,0.9369997013039486,0.7194493970130287,0.537217931016476,0.8566106835740531,0.8412754456420687,0.9033077148436782,0.9495997133908652,0.9012494835962442,0.7625694282268767,0.8988580893682141,0.537217931016476,0.8412754456420687,-2.9813899793396104e-08,9.974854663652444e-05,2.9813899793396104e-08,9.974854663652444e-05,4.988918026815892e-05,-1.5615714754613208e-07,1.5615714754613208e-07,7.150984859816134e-08,7.150984859816134e-08,-3.9271676577357084e-08,3.9271676577357084e-08,4.663376351743409e-09,4.663376351743409e-09,2.1157616779121646e-05,2.1157616779121646e-05,9.832148101762694e-05,9.832148101762694e-05,3.506663876085003e-05,3.506663876085003e-05,0.00024444844998861015,0.00024444844998861015,0.7625694580407765,0.8987583408215776
Tm2_TmY3,Tm2,TmY3,C:\Users\madis\Documents\Perturbations\fly_wire_perturbations\data\flyvis_data\moving_edge\pair-wise-pert-moving-edge-results\Tm2_TmY3.csv,0.9369997013039486,0.7194493970130287,0.537217931016476,0.8566106835740531,0.8412754456420687,0.9033077148436782,0.9495997133908652,0.9012494835962442,0.7625694282268767,0.8988580893682141,0.537217931016476,0.8412754456420687,-2.9813899793396104e-08,9.974854663652444e-05,2.9813899793396104e-08,9.974854663652444e-05,4.988918026815892e-05,-1.5615714754613208e-07,1.5615714754613208e-07,7.150984859816134e-08,7.150984859816134e-08,-3.9271676577357084e-08,3.9271676577357084e-08,4.663376351743409e-09,4.663376351743409e-09,2.1157616779121646e-05,2.1157616779121646e-05,9.832148101762694e-05,9.832148101762694e-05,3.506663876085003e-05,3.506663876085003e-05,0.00024444844998861015,0.00024444844998861015,0.7625694580407765,0.8987583408215776
Tm2_TmY4(1),Tm2,TmY4(1),C:\Users\madis\Documents\Perturbations\fly_wire_perturbations\data\flyvis_data\moving_edge\pair-wise-pert-moving-edge-results\Tm2_TmY4(1).csv,0.9369998234961192,0.7194493401829485,0.5372179200700046,0.856610551887295,0.841253163719888,0.9032085834654892,0.94956234759186,0.9010137461183128,0.7625694089090918,0.8987594602238875,0.5372179200700046,0.841253163719888,-4.9131684720649105e-08,1.119402309956996e-06,4.9131684720649105e-08,1.119402309956996e-06,5.842669973388226e-07,-3.396497694208023e-08,3.396497694208023e-08,1.4679768400860382e-08,1.4679768400860382e-08,-5.021814797334656e-08,5.021814797334656e-08,-1.270233818129185e-07,1.270233818129185e-07,-1.1243054015563914e-06,1.1243054015563914e-06,-8.09897171438756e-07,8.09897171438756e-07,-2.299160244412235e-06,2.299160244412235e-06,8.710972057124344e-06,8.710972057124344e-06,0.7625694580407765,0.8987583408215776
Tm2_TmY4,Tm2,TmY4,C:\Users\madis\Documents\Perturbations\fly_wire_perturbations\data\flyvis_data\moving_edge\pair-wise-pert-moving-edge-results\Tm2_TmY4.csv,0.9369998234961192,0.7194493401829485,0.5372179200700046,0.856610551887295,0.841253163719888,0.9032085834654892,0.94956234759186,0.9010137461183128,0.7625694089090918,0.8987594602238875,0.5372179200700046,0.841253163719888,-4.9131684720649105e-08,1.119402309956996e-06,4.9131684720649105e-08,1.119402309956996e-06,5.842669973388226e-07,-3.396497694208023e-08,3.396497694208023e-08,1.4679768400860382e-08,1.4679768400860382e-08,-5.021814797334656e-08,5.021814797334656e-08,-1.270233818129185e-07,1.270233818129185e-07,-1.1243054015563914e-06,1.1243054015563914e-06,-8.09897171438756e-07,8.09897171438756e-07,-2.299160244412235e-06,2.299160244412235e-06,8.710972057124344e-06,8.710972057124344e-06,0.7625694580407765,0.8987583408215776
Tm3_L1(1),Tm3,L1(1),C:\Users\madis\Documents\Perturbations\fly_wire_perturbations\data\flyvis_data\moving_edge\pair-wise-pert-moving-edge-results\Tm3_L1(1).csv,0.936999862705692,0.7194493615921674,0.5372179425054272,0.856610716397308,0.8412543037651067,0.9032093506075406,0.949564631747183,0.9010050872678496,0.7625694708001487,0.89875834334692,0.5372179425054272,0.8412543037651067,1.2759372225445986e-08,2.5253423796556262e-09,1.2759372225445986e-08,2.5253423796556262e-09,7.642357302550806e-09,5.2445958687030725e-09,5.2445958687030725e-09,3.608898735407706e-08,3.608898735407706e-08,-2.7782725342540004e-08,2.7782725342540004e-08,3.748663124358842e-08,3.748663124358842e-08,1.5739817116333654e-08,1.5739817116333654e-08,-4.2755119999959845e-08,4.2755119999959845e-08,-1.5004921416483796e-08,1.5004921416483796e-08,5.2121593929754795e-08,5.2121593929754795e-08,0.7625694580407765,0.8987583408215776
Tm3_L1,Tm3,L1,C:\Users\madis\Documents\Perturbations\fly_wire_perturbations\data\flyvis_data\moving_edge\pair-wise-pert-moving-edge-results\Tm3_L1.csv,0.936999862705692,0.7194493615921674,0.5372179425054272,0.856610716397308,0.8412543037651067,0.9032093506075406,0.949564631747183,0.9010050872678496,0.7625694708001487,0.89875834334692,0.5372179425054272,0.8412543037651067,1.2759372225445986e-08,2.5253423796556262e-09,1.2759372225445986e-08,2.5253423796556262e-09,7.642357302550806e-09,5.2445958687030725e-09,5.2445958687030725e-09,3.608898735407706e-08,3.608898735407706e-08,-2.7782725342540004e-08,2.7782725342540004e-08,3.748663124358842e-08,3.748663124358842e-08,1.5739817116333654e-08,1.5739817116333654e-08,-4.2755119999959845e-08,4.2755119999959845e-08,-1.5004921416483796e-08,1.5004921416483796e-08,5.2121593929754795e-08,5.2121593929754795e-08,0.7625694580407765,0.8987583408215776
